stateFP,state,maptype,countyFP,county,district,dem_CountySplitValue,rep_CountySplitValue
stateFP,state,current,42041,"Cumberland County, Pennsylvania",4,0.5464638313849488,0.5010636049584678
stateFP,state,current,6067,"Sacramento County, California",7,0.49378399066229767,0.6102063317784527
stateFP,state,current,45065,"McCormick County, South Carolina",3,1.0,1.0
stateFP,state,current,8053,"Hinsdale County, Colorado",3,1.0,1.0
stateFP,state,current,19047,"Crawford County, Iowa",4,1.0,1.0
stateFP,state,current,5117,"Prairie County, Arkansas",1,1.0,1.0
stateFP,state,current,8093,"Park County, Colorado",2,0.2976829262035829,0.27139476811316215
stateFP,state,current,51125,"Nelson County, Virginia",5,1.0,1.0
stateFP,state,current,51199,"York County, Virginia",2,1.0,1.0
stateFP,state,current,48029,"Bexar County, Texas",15,4.0460590433453225e-06,5.445043783146532e-06
stateFP,state,current,31171,"Thomas County, Nebraska",3,1.0,1.0
stateFP,state,current,12067,"Lafayette County, Florida",2,1.0,1.0
stateFP,state,current,27069,"Kittson County, Minnesota",7,1.0,1.0
stateFP,state,current,18175,"Washington County, Indiana",9,1.0,1.0
stateFP,state,current,35051,"Sierra County, New Mexico",2,1.0,1.0
stateFP,state,current,24011,"Caroline County, Maryland",1,1.0,1.0
stateFP,state,current,35005,"Chaves County, New Mexico",2,1.0,1.0
stateFP,state,current,17141,"Ogle County, Illinois",16,1.0,1.0
stateFP,state,current,6111,"Ventura County, California",25,0.1422899620318379,0.13868409020750466
stateFP,state,current,27035,"Crow Wing County, Minnesota",8,1.0,1.0
stateFP,state,current,6059,"Orange County, California",47,0.13567978715452306,0.05338505114906792
stateFP,state,current,8059,"Jefferson County, Colorado",2,0.17554739731592137,0.1760654260301077
stateFP,state,current,48023,"Baylor County, Texas",13,1.0,1.0
stateFP,state,current,13319,"Wilkinson County, Georgia",8,1.0,1.0
stateFP,state,current,31111,"Lincoln County, Nebraska",3,1.0,1.0
stateFP,state,current,40065,"Jackson County, Oklahoma",3,1.0,1.0
stateFP,state,current,8013,"Boulder County, Colorado",2,0.7461032643555003,0.6944260277383647
stateFP,state,current,20167,"Russell County, Kansas",1,1.0,1.0
stateFP,state,current,22041,"Franklin Parish, Louisiana",5,1.0,1.0
stateFP,state,current,6077,"San Joaquin County, California",10,0.22529647996284508,0.33034626482373997
stateFP,state,current,41005,"Clackamas County, Oregon",5,0.7608127366399429,0.7420642454548028
stateFP,state,current,48493,"Wilson County, Texas",28,0.9181297239108566,0.8866023345973884
stateFP,state,current,31037,"Colfax County, Nebraska",1,1.0,1.0
stateFP,state,current,36121,"Wyoming County, New York",27,1.0,1.0
stateFP,state,current,51097,"King and Queen County, Virginia",1,1.0,1.0
stateFP,state,current,51171,"Shenandoah County, Virginia",6,1.0,1.0
stateFP,state,current,41017,"Deschutes County, Oregon",2,1.0,1.0
