stateFP,state,maptype,countyFP,county,district,dem_CountySplitValue,rep_CountySplitValue
stateFP,state,current,8089,"Otero County, Colorado",4,1.0,1.0
stateFP,state,current,24510,"Baltimore city, Maryland",7,0.6072921360119036,0.49545863487404296
stateFP,state,current,27053,"Hennepin County, Minnesota",4,1.946540957192036e-06,3.855802990337231e-06
stateFP,state,current,48321,"Matagorda County, Texas",27,1.0,1.0
stateFP,state,current,40083,"Logan County, Oklahoma",3,1.0,1.0
stateFP,state,current,34037,"Sussex County, New Jersey",11,0.3377997340454788,0.32495372568324193
stateFP,state,current,18145,"Shelby County, Indiana",6,1.0,1.0
stateFP,state,current,36045,"Jefferson County, New York",21,1.0,1.0
stateFP,state,current,48273,"Kleberg County, Texas",34,1.0,1.0
stateFP,state,current,17145,"Perry County, Illinois",12,1.0,1.0
stateFP,state,current,26083,"Keweenaw County, Michigan",1,1.0,1.0
stateFP,state,current,27007,"Beltrami County, Minnesota",7,0.5919823022062316,0.5441417734779337
stateFP,state,current,36103,"Suffolk County, New York",1,0.47201613458362063,0.5048668431106353
stateFP,state,current,39145,"Scioto County, Ohio",2,0.5298167813308341,0.5065206646160845
stateFP,state,current,51003,"Albemarle County, Virginia",5,1.0,1.0
stateFP,state,current,41035,"Klamath County, Oregon",2,1.0,1.0
stateFP,state,current,41009,"Columbia County, Oregon",1,1.0,1.0
stateFP,state,current,48155,"Foard County, Texas",13,1.0,1.0
stateFP,state,current,13175,"Laurens County, Georgia",12,1.0,1.0
stateFP,state,current,6061,"Placer County, California",7,2.9025748246129486e-05,3.0395118635410824e-05
stateFP,state,current,12057,"Hillsborough County, Florida",14,0.5989133855544646,0.5238668466972659
stateFP,state,current,8009,"Baca County, Colorado",4,1.0,1.0
stateFP,state,current,34031,"Passaic County, New Jersey",9,0.6760328511267659,0.4839526198244361
stateFP,state,current,1103,"Morgan County, Alabama",5,1.0,1.0
stateFP,state,current,28133,"Sunflower County, Mississippi",2,1.0,1.0
stateFP,state,current,4001,"Apache County, Arizona",1,1.0,1.0
stateFP,state,current,45035,"Dorchester County, South Carolina",6,0.15009279229227176,0.16955245289662257
stateFP,state,current,36019,"Clinton County, New York",21,1.0,1.0
stateFP,state,current,53067,"Thurston County, Washington",10,0.9404252156516697,0.9082463683994041
stateFP,state,current,6059,"Orange County, California",49,0.03063306080797682,0.09935655128551378
stateFP,state,current,40003,"Alfalfa County, Oklahoma",3,1.0,1.0
stateFP,state,current,26073,"Isabella County, Michigan",4,1.0,1.0
stateFP,state,current,12071,"Lee County, Florida",19,0.8817518317719277,0.8671543805867737
stateFP,state,current,6027,"Inyo County, California",8,1.0,1.0
stateFP,state,current,17013,"Calhoun County, Illinois",13,1.0,1.0
stateFP,state,current,16081,"Teton County, Idaho",2,1.0,1.0
stateFP,state,current,39093,"Lorain County, Ohio",4,0.37204206649515426,0.36224421245131233
stateFP,state,current,6055,"Napa County, California",5,1.0,1.0
stateFP,state,current,6113,"Yolo County, California",6,0.18942260113513426,0.18072739588707806
stateFP,state,current,48097,"Cooke County, Texas",13,1.0,1.0
stateFP,state,current,17129,"Menard County, Illinois",18,1.0,1.0
stateFP,state,current,4011,"Greenlee County, Arizona",1,1.0,1.0
stateFP,state,current,1081,"Lee County, Alabama",3,1.0,1.0
stateFP,state,current,37033,"Caswell County, North Carolina",6,1.0,1.0
stateFP,state,current,13127,"Glynn County, Georgia",1,1.0,1.0
stateFP,state,current,17197,"Will County, Illinois",14,0.18439468055839842,0.12148757976708192
stateFP,state,current,6095,"Solano County, California",3,0.546519765825495,0.7546837508952027
stateFP,state,current,19145,"Page County, Iowa",3,1.0,1.0
stateFP,state,current,51580,"Covington city, Virginia",9,1.0,1.0
stateFP,state,current,12113,"Santa Rosa County, Florida",1,1.0,1.0
stateFP,state,current,34013,"Essex County, New Jersey",11,0.25594917198998135,0.4283568280874017
stateFP,state,current,29005,"Atchison County, Missouri",6,1.0,1.0
stateFP,state,current,28093,"Marshall County, Mississippi",1,1.0,1.0
stateFP,state,current,39087,"Lawrence County, Ohio",6,1.0,1.0
stateFP,state,current,6033,"Lake County, California",3,0.5546905923573671,0.5451556075908506
stateFP,state,current,48337,"Montague County, Texas",13,1.0,1.0
stateFP,state,current,13093,"Dooly County, Georgia",2,1.0,1.0
stateFP,state,current,20049,"Elk County, Kansas",4,1.0,1.0
stateFP,state,current,27059,"Isanti County, Minnesota",8,1.0,1.0
stateFP,state,current,12095,"Orange County, Florida",6,2.062473366957405e-06,3.6724707849254617e-06
stateFP,state,current,55127,"Walworth County, Wisconsin",5,0.09888301194340736,0.08361314972287431
stateFP,state,current,13303,"Washington County, Georgia",10,1.0,1.0
stateFP,state,current,48405,"San Augustine County, Texas",1,1.0,1.0
stateFP,state,current,28103,"Noxubee County, Mississippi",3,1.0,1.0
stateFP,state,current,45087,"Union County, South Carolina",5,1.0,1.0
stateFP,state,current,48427,"Starr County, Texas",28,1.0,1.0
stateFP,state,current,12099,"Palm Beach County, Florida",18,0.19755951803077254,0.2201622025790661
stateFP,state,current,12071,"Lee County, Florida",25,5.002817655971163e-06,2.1703335508384366e-06
stateFP,state,current,1041,"Crenshaw County, Alabama",2,1.0,1.0
stateFP,state,current,18095,"Madison County, Indiana",5,1.0,1.0
stateFP,state,current,26163,"Wayne County, Michigan",11,0.16127156030739492,0.19109600085468326
stateFP,state,current,35045,"San Juan County, New Mexico",3,1.0,1.0
stateFP,state,current,28013,"Calhoun County, Mississippi",1,1.0,1.0
stateFP,state,current,42041,"Cumberland County, Pennsylvania",4,0.5681763176228353,0.48108485326158046
stateFP,state,current,6067,"Sacramento County, California",7,0.4721135923990587,0.6186439829941635
stateFP,state,current,45065,"McCormick County, South Carolina",3,1.0,1.0
stateFP,state,current,8053,"Hinsdale County, Colorado",3,1.0,1.0
stateFP,state,current,19047,"Crawford County, Iowa",4,1.0,1.0
stateFP,state,current,5117,"Prairie County, Arkansas",1,1.0,1.0
stateFP,state,current,8093,"Park County, Colorado",2,0.2953301611251397,0.26951922022941655
stateFP,state,current,51125,"Nelson County, Virginia",5,1.0,1.0
stateFP,state,current,51199,"York County, Virginia",2,1.0,1.0
