stateFP,state,maptype,countyFP,county,district,demPercentage,repPercentage
08,CO,Compact,69,...,4,1.0,1.0
08,CO,Compact,123,...,4,1.0,1.0
08,CO,Compact,5,...,6,0.48208027019734734,0.42129475674100697
08,CO,Compact,5,...,7,0.29388121687912966,0.4092154556287834
08,CO,Compact,1,...,6,1.0,1.0
08,CO,Compact,87,...,4,1.0,1.0
08,CO,Compact,65,...,3,1.0,1.0
08,CO,Compact,14,...,2,1.0,1.0
08,CO,Compact,71,...,3,1.0,1.0
08,CO,Compact,77,...,3,1.0,1.0
08,CO,Compact,29,...,3,1.0,1.0
08,CO,Compact,109,...,3,1.0,1.0
08,CO,Compact,39,...,5,1.0,1.0
08,CO,Compact,45,...,2,1.0,1.0
08,CO,Compact,13,...,4,0.31638121758496507,0.3046912156453396
08,CO,Compact,35,...,7,0.8256248698266533,0.7888609990181913
08,CO,Compact,75,...,4,1.0,1.0
08,CO,Compact,99,...,3,1.0,1.0
08,CO,Compact,7,...,3,1.0,1.0
08,CO,Compact,19,...,2,1.0,1.0
08,CO,Compact,43,...,3,1.0,1.0
08,CO,Compact,23,...,3,1.0,1.0
08,CO,Compact,59,...,6,9.519021579603372e-06,9.600391037594462e-06
08,CO,Compact,121,...,4,1.0,1.0
08,CO,Compact,111,...,3,1.0,1.0
08,CO,Compact,119,...,5,1.0,1.0
08,CO,Compact,51,...,3,1.0,1.0
08,CO,Compact,95,...,4,1.0,1.0
08,CO,Compact,37,...,2,1.0,1.0
08,CO,Compact,97,...,2,1.0,1.0
08,CO,Compact,113,...,3,1.0,1.0
08,CO,Compact,15,...,3,1.0,1.0
08,CO,Compact,81,...,2,1.0,1.0
08,CO,Compact,117,...,2,1.0,1.0
08,CO,Compact,67,...,3,1.0,1.0
08,CO,Compact,103,...,2,1.0,1.0
08,CO,Compact,105,...,3,1.0,1.0
08,CO,Compact,85,...,3,1.0,1.0
08,CO,Compact,57,...,2,1.0,1.0
08,CO,Compact,47,...,2,1.0,1.0
08,CO,Compact,93,...,3,0.7996142199243828,0.8757443209457209
08,CO,Compact,55,...,3,1.0,1.0
08,CO,Compact,33,...,3,1.0,1.0
08,CO,Compact,59,...,1,0.0003213898696193047,0.00037240337696661075
