State,ElectionDate,MapType,District,DemocratVote,RepublicanVote,Winner
FL,2016,Dem,7,182516.7758549594,152194.4190720985,Democrat
FL,2016,Dem,8,153093.93475942026,233779.84647339207,Republican
FL,2016,Dem,9,185808.014084436,144068.81175295787,Democrat
FL,2016,Dem,10,194015.24178063378,121821.54616868342,Democrat
FL,2016,Dem,11,150621.52017810987,256106.12267110683,Republican
FL,2016,Dem,12,149965.2296898131,204080.4153923373,Republican
FL,2016,Dem,13,182279.84110986209,165666.2703434943,Democrat
FL,2016,Dem,14,182443.05562114448,142029.7131558975,Democrat
FL,2016,Dem,15,139715.27142348656,187757.86929249874,Republican
FL,2016,Dem,16,168200.06387008776,217175.90103078517,Republican
FL,2016,Dem,17,128355.49036833685,194286.54771903713,Republican
FL,2016,Dem,18,183999.97841103867,156782.64107448497,Democrat
FL,2016,Dem,19,136066.73617972838,236733.34569025185,Republican
FL,2016,Dem,20,198327.81419648943,149105.25461147822,Democrat
FL,2016,Dem,21,194531.3382447599,146947.0549821356,Democrat
FL,2016,Dem,22,192898.27548099213,119287.9529361638,Democrat
FL,2016,Dem,23,201587.00151358268,111419.21750986984,Democrat
FL,2016,Dem,24,224583.0697397092,73462.67735954776,Democrat
FL,2016,Dem,25,172202.6748248705,102250.63320116531,Democrat
FL,2016,Dem,26,172619.39823039636,109428.21656104267,Democrat
FL,2016,Dem,27,157196.34264748704,97804.97830203161,Democrat
FL,2016,GOP,1,114766.9620991557,237015.9894047053,Republican
FL,2016,GOP,2,147343.12912882457,205800.19686270584,Republican
FL,2016,GOP,3,132861.41132392245,188437.04559001586,Republican
FL,2016,GOP,4,150790.71000633028,228291.11632837425,Republican
FL,2016,GOP,5,144410.28999366963,201394.8836716258,Republican
FL,2016,GOP,6,156017.888019815,204368.312811057,Republican
FL,2016,GOP,7,162714.26781445733,197021.80447625025,Republican
FL,2016,GOP,8,162971.7715592865,210871.38339912373,Republican
FL,2016,GOP,9,211961.39609784115,111079.32961799999,Democrat
FL,2016,GOP,10,174944.9023957114,191480.09470903553,Republican
FL,2016,GOP,11,139195.60363564052,213691.1700668189,Republican
FL,2016,GOP,12,153188.0568163701,187820.91025885864,Republican
FL,2016,GOP,13,168494.65447812525,187417.00870119917,Republican
FL,2016,GOP,14,189599.41035262911,147353.6853981152,Democrat
FL,2016,GOP,15,148327.90133357336,170553.44696440894,Republican
FL,2016,GOP,16,164575.88289003732,212945.8842451349,Republican
FL,2016,GOP,17,150599.18350434012,182166.75819509279,Republican
FL,2016,GOP,18,151909.2038839018,203087.5968168253,Republican
FL,2016,GOP,19,142306.67635021894,224776.90808457948,Republican
FL,2016,GOP,20,225776.9810354092,94599.55912162605,Democrat
FL,2016,GOP,21,200457.3274192769,131201.7691349196,Democrat
FL,2016,GOP,22,192420.4300902366,132045.70585046563,Democrat
FL,2016,GOP,23,194625.4824995702,107727.70032644231,Democrat
FL,2016,GOP,24,225413.646983972,71608.6100804913,Democrat
FL,2016,GOP,25,164512.42954853212,89551.51739882668,Democrat
FL,2016,GOP,26,167713.93725329268,118571.80893610927,Democrat
FL,2016,GOP,27,147845.46348585992,154634.80354919267,Republican
FL,2016,MajMin,1,106617.80206132503,255805.81351107408,Republican
FL,2016,MajMin,2,105332.82160561407,214569.9892544535,Republican
FL,2016,MajMin,3,132314.3289600825,215595.52791607392,Republican
FL,2016,MajMin,4,150051.35170539378,219947.52473340876,Republican
FL,2016,MajMin,5,194472.7460720117,144000.81974701895,Democrat
FL,2016,MajMin,6,153779.56013289263,223584.46050091775,Republican
FL,2016,MajMin,7,171754.91873747602,161424.90084268415,Democrat
FL,2016,MajMin,8,155553.5004035159,235261.84249101678,Republican
FL,2016,MajMin,9,192229.15183943696,135053.8960814983,Democrat
FL,2016,MajMin,10,201742.6794161578,124831.28617342052,Democrat
FL,2016,MajMin,11,135857.3462646603,270482.57530343137,Republican
FL,2016,MajMin,12,151577.7068397327,195057.62182704368,Republican
FL,2016,MajMin,13,180388.37011944156,175891.4065279908,Democrat
FL,2016,MajMin,14,178764.98241617493,147609.67883996663,Democrat
FL,2016,MajMin,15,152624.51082897017,171972.66284148686,Republican
FL,2016,MajMin,16,167111.19762554963,223458.52551556716,Republican
FL,2016,MajMin,17,120686.37547157735,198226.48227092143,Republican
FL,2016,MajMin,18,167242.44750999345,184384.5706073683,Republican
FL,2016,MajMin,19,138694.87972823883,220097.26350215898,Republican
FL,2016,MajMin,20,238693.79776471175,92903.38498056693,Democrat
FL,2016,MajMin,21,207681.0427106765,123508.5426888126,Democrat
FL,2016,MajMin,22,178255.09554617875,142437.34490925056,Democrat
FL,2016,MajMin,23,188846.7897082385,107351.70642706979,Democrat
FL,2016,MajMin,24,223600.0218975006,71365.14648584143,Democrat
FL,2016,MajMin,25,174045.59394260668,108096.59409382928,Democrat
FL,2016,MajMin,26,161702.51158555638,143160.98359457648,Democrat
