State,ElectionDate,MapType,District,DemocratVote,RepublicanVote,Winner
CA,2018,current,23,70778.78981153705,98652.32269390776,Republican
CA,2018,current,24,155959.2463563653,113967.31932746204,Democrat
CA,2018,current,25,131865.25394379752,59809.89963817326,Democrat
CA,2018,current,26,154390.7197499299,104866.80689016332,Democrat
CA,2018,current,27,198672.5872176069,21798.963792339975,Democrat
CA,2018,current,28,152564.73277317226,41355.75460695425,Democrat
CA,2018,current,29,134391.70192758605,50401.33338966387,Democrat
CA,2018,current,30,146580.2019640735,46145.43096053481,Democrat
CA,2018,current,31,77067.03098591951,89879.5165944099,Republican
CA,2018,current,32,168956.58578703165,34825.49629239685,Democrat
CA,2018,current,33,143607.93578002427,50379.09634203378,Democrat
CA,2018,current,34,173753.5326919268,27484.116874308682,Democrat
CA,2018,current,35,86999.69946115126,82737.51633096414,Democrat
CA,2018,current,36,73685.99985650861,92101.32410842567,Republican
CA,2018,current,37,154399.62429203343,42102.63698902625,Democrat
CA,2018,current,38,149156.86644397772,44825.54822818985,Democrat
CA,2018,current,39,159537.92712689762,65859.55375071945,Democrat
CA,2018,current,40,110967.83056884777,63321.96834061297,Democrat
CA,2018,current,41,95775.51714911417,75340.06540037107,Democrat
CA,2018,current,42,106442.14077613776,77291.43449061182,Democrat
CA,2018,current,43,163550.97035034854,37684.4437565835,Democrat
CA,2018,current,44,130390.91937823976,53404.05654284789,Democrat
CA,2018,current,45,137495.64969950973,99967.39013780396,Democrat
CA,2018,current,46,124595.89343453056,121085.19625782082,Democrat
CA,2018,current,47,167769.77916044483,34550.99435024355,Democrat
CA,2018,current,48,124988.11314097264,135822.54001981366,Republican
CA,2018,current,49,118090.26586730368,140722.10523287562,Republican
CA,2018,current,50,112293.24833771713,119288.31748855345,Republican
CA,2018,current,51,150186.27785525686,71479.3591336929,Democrat
CA,2018,current,52,177495.94387479793,71809.1991428094,Democrat
CA,2018,current,53,168629.44021261157,83172.92887606437,Democrat
CO,2016,current,1,254404.9798092769,103719.92508648442,Democrat
CO,2016,current,2,249097.45625577858,174215.28450273495,Democrat
CO,2016,current,3,150868.61566543233,203261.23655737872,Republican
CO,2016,current,4,136001.62420342705,243487.60935219954,Republican
CO,2016,current,5,112395.62005981464,226637.66742780883,Republican
CO,2016,current,6,168723.7269967864,178830.85058517783,Republican
CO,2016,current,7,192298.9770094841,158465.42648821563,Democrat
CO,2018,current,1,181241.58303807132,63683.96762378059,Democrat
CO,2018,current,2,245432.22650241808,144874.07524727285,Democrat
CO,2018,current,3,141760.4272318251,168233.35484517057,Republican
CO,2018,current,4,148394.6269942642,210879.0109517415,Republican
CO,2018,current,5,105504.83022290499,160977.8472609475,Republican
CO,2018,current,6,187508.82209504602,138305.45112308016,Democrat
CO,2018,current,7,195860.48391547037,131021.2929480068,Democrat
CT,2016,current,1,211091.55936285492,106917.09822749194,Democrat
CT,2016,current,2,197589.27750259975,109228.648750354,Democrat
CT,2016,current,3,208043.70503294945,103915.9906795315,Democrat
CT,2016,current,4,190870.46530668513,122325.63889813119,Democrat
