state_id,fips,name,county_dem_result,county_rep_result
TX,48321,Matagorda,2755,7109
TX,48355,Nueces,44692,44924
TX,48391,Refugio,842,1576
TX,48409,San Patricio,6533,11167
TX,48469,Victoria,7486,19228
TX,48481,Wharton,3532,9110
IL,17003,Alexander,1099,1084
IL,17055,Franklin,5131,9958
IL,17077,Jackson,10148,9879
IL,17081,Jefferson,4554,9088
IL,17119,Madison,47567,54820
IL,17133,Monroe,5593,9735
IL,17145,Perry,2634,5833
IL,17153,Pulaski,938,1442
IL,17157,Randolph,4317,7672
IL,17163,St. Clair,54108,41387
IL,17181,Union,2417,4997
IL,17199,Williamson,8996,17728
MI,26065,Ingham,80785,35085
MI,26093,Livingston,37773,56266
MI,26125,Oakland,339867,236123
NY,36005,Bronx,270814,15468
TN,47005,Benton,1483,3561
TN,47017,Carroll,1926,6391
TN,47033,Crockett,864,2941
TN,47045,Dyer,1981,8008
TN,47047,Fayette,4175,11424
TN,47053,Gibson,3612,10784
TN,47075,Haywood,3030,2509
TN,47079,Henry,2326,6811
TN,47095,Lake,371,940
TN,47097,Lauderdale,2023,3794
TN,47113,Madison,13119,18488
TN,47131,Obion,1896,7316
TN,47167,Tipton,4086,13533
TN,47183,Weakley,2371,7174
CA,06019,Fresno,130722,121205
CA,06107,Tulare,44885,54606
SC,45005,Allendale,2306,544
SC,45009,Bamberg,2848,1484
SC,45017,Calhoun,2998,2880
SC,45027,Clarendon,6442,5547
SC,45049,Hampton,4236,2268
SC,45053,Jasper,4976,4222
SC,45085,Sumter,19600,14463
SC,45089,Williamsburg,7956,3558
MI,26163,Wayne,451414,137741
NH,33001,BELKNAP,12256,14125
NH,33003,CARROLL,12146,11464
NH,33009,GRAFTON,25627,13499
NH,33011,HILLSBOROUGH,87489,71360
NH,33013,MERRIMACK,36702,26626
NH,33015,ROCKINGHAM,71211,66089
NH,33017,STRAFFORD,30819,21469
WA,53067,Thurston,77872,44147
WI,55009,Brown,45320,69402
WI,55015,Calumet,7647,15806
WI,55029,Door,7025,9863
WI,55061,Kewaunee,2951,6490
WI,55075,Marinette,5273,12017
WI,55078,Menominee,784,307
WI,55083,Oconto,4722,12734
WI,55087,Outagamie,31819,50393
WI,55115,Shawano,5070,12739
WI,55135,Waupaca,6888,15360
FL,12071,Lee,111897,174534
CA,06001,Alameda,457183,70327
CA,06075,San Francisco,306924,48267
WA,53029,Island,26647,0
WA,53055,San Juan,8130,0
WA,53057,Skagit,32050,9344
WA,53061,Snohomish,197563,64274
WA,53073,Whatcom,67305,29568
