State,County,District,DemVotes,RepVotes,OtherVotes
georgia,Oconee,10,5809,14588,0
georgia,Baldwin,10,7441,7839,0
georgia,Newton,10,2343,7461,0
georgia,Morgan,10,2556,6826,0
georgia,Putnam,10,2466,6714,0
georgia,Greene,10,2965,5949,0
georgia,Butts,10,2372,6336,0
georgia,McDuffie,10,3358,5314,0
georgia,Columbia,10,2229,6442,0
georgia,Washington,10,3876,4049,0
georgia,Jefferson,10,3397,3147,0
georgia,Oglethorpe,10,1833,4535,0
georgia,Jasper,10,1441,4369,0
georgia,Wilkes,10,1678,2572,0
georgia,Lincoln,10,1157,2745,0
georgia,Hancock,10,2495,909,0
georgia,Johnson,10,908,2470,0
georgia,Warren,10,1141,1057,0
georgia,Glascock,10,107,1148,0
georgia,Taliaferro,10,485,363,0
georgia,Hall,9,16961,49343,0
georgia,Jackson,9,4734,21814,0
georgia,Forsyth,9,4661,21611,0
georgia,Habersham,9,2470,12789,0
georgia,Gilmer,9,2001,10322,0
georgia,Union,9,1905,9801,0
georgia,Madison,9,2468,9039,0
georgia,Dawson,9,1538,9864,0
georgia,Lumpkin,9,2276,9112,0
georgia,White,9,1746,9547,0
georgia,Fannin,9,1842,9186,0
georgia,Hart,9,2187,7237,0
georgia,Stephens,9,1693,7224,0
georgia,Pickens,9,1411,7345,0
georgia,Franklin,9,1093,6953,0
georgia,Rabun,9,1484,5965,0
georgia,Elbert,9,2207,5055,0
georgia,Banks,9,676,6069,0
georgia,Towns,9,1110,4910,0
georgia,Clarke,9,3412,1332,0
georgia,Cobb,11,73758,72211,0
georgia,Cherokee,11,26919,78029,0
georgia,Bartow,11,8310,28523,0
georgia,Fulton,11,9600,13010,0
georgia,Coweta,3,16574,40678,0
georgia,Fayette,3,17529,29303,0
georgia,Carroll,3,11932,29240,0
georgia,Henry,3,16838,11701,0
georgia,Spalding,3,8920,14949,0
georgia,Troup,3,8688,14806,0
georgia,Muscogee,3,5879,11671,0
georgia,Harris,3,3892,11860,0
georgia,Upson,3,3326,7063,0
georgia,Meriwether,3,3428,5055,0
georgia,Pike,3,1147,7254,0
georgia,Lamar,3,2153,5076,0
georgia,Heard,3,664,3309,0
georgia,Paulding,14,19327,40918,0
georgia,Floyd,14,7993,21776,0
georgia,Whitfield,14,6909,19807,0
georgia,Catoosa,14,4474,18900,0
georgia,Walker,14,3846,17299,0
georgia,Gordon,14,3127,14314,0
georgia,Polk,14,2553,10075,0
georgia,Murray,14,1579,9313,0
georgia,Haralson,14,1241,9164,0
georgia,Chattooga,14,1480,5794,0
georgia,Dade,14,883,4436,0
georgia,Pickens,14,498,3867,0
georgia,Fulton,5,172835,0,0
georgia,DeKalb,5,73116,0,0
georgia,Clayton,5,29110,0,0
georgia,Cobb,13,50513,19440,0
georgia,Clayton,13,51918,7127,0
georgia,Douglas,13,32997,21507,0
georgia,Fulton,13,49771,3574,0
georgia,Henry,13,31364,14429,0
georgia,Fayette,13,6564,3672,0
georgia,Fulton,6,75756,76426,0
georgia,Cobb,6,40811,51293,0
georgia,DeKalb,6,43381,29030,0
georgia,DeKalb,4,138924,15591,0
georgia,Gwinnett,4,42387,21690,0
georgia,Rockdale,4,24319,11725,0
georgia,Newton,4,20649,11895,0
georgia,Gwinnett,7,117756,94916,0
georgia,Forsyth,7,21179,44922,0
hawaii,Honolulu,2,46846,18875,0
hawaii,Hawaii,2,45233,12140,0
hawaii,Maui,2,38793,8516,0
hawaii,Kauai,2,19691,4577,0
hawaii,Honolulu,1,134603,42480,7057
idaho,Ada,2,55823,38617,0
idaho,Bonneville,2,9446,25370,0
idaho,Bannock,2,12424,16369,0
idaho,Twin Falls,2,6864,17247,0
idaho,Bingham,2,3054,9927,0
idaho,Blaine,2,6764,3670,0
idaho,Madison,2,1410,7292,0
idaho,Jefferson,2,1183,7379,0
idaho,Elmore,2,1991,4933,0
idaho,Cassia,2,1027,5067,0
idaho,Jerome,2,1299,4000,0
idaho,Minidoka,2,1081,4004,0
idaho,Teton,2,2503,2244,0
idaho,Fremont,2,751,3981,0
idaho,Franklin,2,399,3394,0
idaho,Lemhi,2,802,2608,0
idaho,Caribou,2,328,1924,0
idaho,Power,2,648,1537,0
idaho,Bear Lake,2,291,1844,0
idaho,Custer,2,453,1609,0
idaho,Oneida,2,199,1292,0
idaho,Lincoln,2,350,1111,0
idaho,Butte,2,175,836,0
idaho,Camas,2,0,0,0
idaho,Clark,2,0,0,0
idaho,Gooding,2,0,0,0
idaho,Ada,1,30373,56446,6065
idaho,Kootenai,1,12569,25209,1972
idaho,Canyon,1,9121,19824,1893
idaho,Latah,1,8177,6308,1052
idaho,Nez Perce,1,4930,8225,1012
idaho,Bonner,1,4696,8622,798
idaho,Payette,1,1471,5464,523
idaho,Gem,1,1315,5173,496
idaho,Idaho,1,1276,5189,424
idaho,Valley,1,2123,2608,350
idaho,Boundary,1,929,3005,260
idaho,Shoshone,1,1427,2328,375
idaho,Washington,1,790,2833,223
idaho,Benewah,1,894,2471,249
idaho,Owyhee,1,599,2586,217
idaho,Clearwater,1,710,2188,190
idaho,Boise,1,810,1794,281
idaho,Adams,1,427,1291,138
idaho,Lewis,1,266,1005,91
illinois,Sangamon,18,16453,32778,0
illinois,McLean,18,18893,28732,0
illinois,Tazewell,18,11631,25684,0
illinois,Adams,18,5938,18378,0
illinois,Woodford,18,3662,10437,0
illinois,Morgan,18,3323,8322,0
illinois,McDonough,18,3989,6159,0
illinois,Logan,18,2433,7556,0
illinois,Pike,18,1384,5043,0
illinois,Peoria,18,2569,2951,0
illinois,Menard,18,1319,4022,0
illinois,Mason,18,1629,3601,0
