Precinct,Tract,Area
25,37035011300,0.283249375818674
38,37035010302,0.9999994015810373
40,37035011701,0.6022429079669857
40,37035011200,0.397757091315431
34,37035011102,0.015011103292419318
34,37035011701,0.3209657309713093
34,37035011702,0.6640231653628754
08,37035010102,0.7337440140115334
08,37035011200,0.004364074528006271
08,37035011300,0.261890961100436
13,37035010700,0.3397435471636408
13,37035010600,0.4354193231741559
13,37035010501,0.033078819968364384
13,37035010900,0.19144120296006892
28,37035011000,0.0134368412556875
28,37035010303,0.3225439925694405
28,37035010304,0.6640189932841929
41,37097061401,0.005466167583916696
41,37097061402,0.004286248848728772
41,37035011504,0.9775884871309999
41,37035011602,0.012659095152898937
14,37035010700,0.02504799655358958
14,37035010600,0.5816366004215692
14,37035010501,0.39331540302484014
31,37097061204,0.0017315566406103059
31,37035011504,0.19049425824466706
31,37035011602,0.05079476985336059
31,37035011501,0.4432262534698869
31,37035011503,0.3128122562819761
12,37035010501,0.045321062394017175
12,37035010900,0.5112345072981687
12,37035010402,0.008821558053369377
12,37035011000,0.43462286988884563
01,37035011602,0.2114996471876977
01,37035011501,0.3019597803584994
01,37035011402,0.3841526162355978
01,37035011601,0.10238792822378856
04,37035011101,0.1932597346661577
04,37035011102,0.8067402599182668
09,37035011602,0.6979604500069603
09,37035011601,0.30203954971381364
36,37035010501,0.7576052192252496
36,37035010502,0.23847614828621141
36,37027031300,0.003918621863499008
11,37035010501,0.37320364438609305
11,37035010402,0.6264097118071601
30,37035010402,0.029290293303880284
30,37035010401,0.37391175187237147
30,37035010302,0.2500706347390251
30,37035010303,0.3467260451179517
10,37035011200,0.22098857911457745
10,37035011300,0.779011420885423
05,37035010101,0.14607025431144594
