maptype,stateID,state,district,district_dem_result,district_rep_result,district_winner
Dem,4,AZ,9,134904.7704871859,88259.27769183877,D
Dem,5,AR,1,65509.79247717271,162827.52504274604,R
Dem,5,AR,2,105822.801684476,95309.63579568747,D
Dem,5,AR,3,74676.0,146595.0,R
Dem,5,AR,4,65500.40583835128,149851.8391615665,R
Dem,6,CA,1,114769.89208264627,156470.45174736914,R
Dem,6,CA,2,181068.34363327577,58686.133392388714,D
Dem,6,CA,3,151549.9768433014,68190.99119861209,D
Dem,6,CA,4,161140.24650072845,102833.75617138768,D
Dem,6,CA,5,151059.61760674656,49175.97332111871,D
Dem,6,CA,6,163567.73063019037,78534.50037081455,D
Dem,6,CA,7,164106.30109915376,57337.13452241916,D
Dem,6,CA,8,63342.02354658551,154758.61389786573,R
Dem,6,CA,9,102158.40773810804,75186.35980476672,D
Dem,6,CA,10,137504.9277012812,72021.01060518445,D
Dem,6,CA,11,179499.06237157885,69007.7994077494,D
Dem,6,CA,12,258256.46433427397,44733.12862922266,D
Dem,6,CA,13,190231.85570800642,33862.44552684918,D
Dem,6,CA,14,247251.94054655905,51004.904504780956,D
Dem,6,CA,15,175034.66832564148,51256.55015085424,D
Dem,6,CA,16,94243.06161618038,58672.3200815029,D
Dem,6,CA,17,276408.59429463884,16149.671324826484,D
Dem,6,CA,18,156506.2772747514,90149.41317402892,D
Dem,6,CA,19,161490.96423565818,43541.002056403246,D
Dem,6,CA,20,164916.94705979188,101826.82408782135,D
Dem,6,CA,21,58572.52262391015,69107.44139861575,R
Dem,6,CA,22,114602.17813074515,174994.12264907314,R
Dem,6,CA,23,69558.64728640865,101953.4596357801,R
Dem,6,CA,24,137655.31996909255,97003.57547955526,D
Dem,6,CA,25,121583.7091491325,59578.63363037999,D
Dem,6,CA,26,151792.34284087035,98981.51375538736,D
Dem,6,CA,27,306585.62428628403,43985.31478030028,D
Dem,6,CA,28,148041.30798737824,68249.21150768019,D
Dem,6,CA,29,117546.7034995754,40471.60708910789,D
Dem,6,CA,30,146046.88181704783,62291.46098662598,D
Dem,6,CA,31,73244.58240662477,77334.57268709951,R
Dem,6,CA,32,158927.53833364835,37724.86293924791,D
Dem,6,CA,33,150274.37253204355,65657.21214551973,D
Dem,6,CA,34,154230.20830033862,24993.140573079676,D
Dem,6,CA,35,70460.12815711077,70970.2467022852,R
Dem,6,CA,36,77081.51837487229,97787.6913705007,R
Dem,6,CA,37,174585.51772458942,29665.194127606548,D
Dem,6,CA,38,108132.43045039373,58309.62501916374,D
Dem,6,CA,39,107657.67706960281,162684.77524218103,R
Dem,6,CA,40,79706.13187470206,39567.12126181885,D
Dem,6,CA,41,80679.15643647233,63064.69695981727,D
Dem,6,CA,42,156039.3621884908,49135.169347450275,D
Dem,6,CA,43,93202.06431747785,26584.282157491663,D
Dem,6,CA,44,187044.01460491106,46708.9345715957,D
Dem,6,CA,45,182413.97774076063,73388.21537941648,D
Dem,6,CA,46,91065.99826421782,84629.95933524154,D
Dem,6,CA,47,136142.58228115682,99075.75803351274,D
Dem,6,CA,48,158582.4112650566,55214.88694311709,D
Dem,6,CA,49,143119.79658844185,109112.31902352266,D
Dem,6,CA,50,101854.83776295107,121433.0347584264,R
Dem,6,CA,51,162752.48005221094,61997.13929512461,D
Dem,6,CA,52,193425.2189273831,70510.61338954238,D
Dem,6,CA,53,136651.2428933656,108078.88544964892,D
Dem,8,CO,1,184493.30356609242,143461.7881301404,D
Dem,8,CO,2,194604.31873784846,144009.67319571704,D
Dem,8,CO,3,128804.74701227418,155219.75577778896,R
Dem,8,CO,4,210144.93006011218,151176.31531670195,D
Dem,8,CO,5,107883.17385334114,205411.89641836644,R
Dem,8,CO,6,174654.63204464235,102001.0922499001,D
Dem,8,CO,7,205117.89472568943,116694.47891138516,D
Dem,9,CT,1,176442.6902929448,96701.37021526782,D
Dem,9,CT,2,175303.8928850048,105703.55719855464,D
Dem,9,CT,3,168324.77107651855,99241.93356817483,D
